gender,population,country
f,44977,Total
m,63436,Total
f,22,ABW
m,16,ABW
f,95,AFG
m,113,AFG
f,20,AGO
m,32,AGO
f,8,AIA
m,17,AIA
f,43,ALB
m,81,ALB
f,18,AND
m,33,AND
f,6,ANT
m,10,ANT
f,32,ARE
m,83,ARE
f,305,ARG
m,758,ARG
f,30,ARM
m,42,ARM
f,11,ATG
m,11,ATG
f,3146,AUS
m,3253,AUS
f,789,AUT
m,1342,AUT
f,26,AZE
m,59,AZE
f,3,BDI
m,6,BDI
f,616,BEL
m,1010,BEL
f,6,BEN
m,8,BEN
f,2,BFA
m,5,BFA
f,24,BGD
m,63,BGD
f,88,BGR
m,88,BGR
f,32,BHR
m,40,BHR
f,19,BHS
m,19,BHS
f,29,BIH
m,22,BIH
f,58,BLR
m,84,BLR
f,6,BLZ
m,6,BLZ
f,6,BMU
m,6,BMU
f,18,BOL
m,36,BOL
f,610,BRA
m,1263,BRA
f,22,BRB
m,14,BRB
f,5,BRN
m,11,BRN
f,1,BTN
m,11,BTN
f,7,BWA
m,8,BWA
f,2,CAF
m,1,CAF
f,2399,CAN
m,3159,CAN
f,588,CHE
m,1155,CHE
f,269,CHL
m,556,CHL
f,338,CHN
m,305,CHN
f,8,CIV
m,15,CIV
f,10,CMR
m,14,CMR
f,4,COD
m,10,COD
f,8,COG
m,1,COG
m,5,COK
f,233,COL
m,406,COL
f,3,COM
m,1,COM
f,2,CPV
m,7,CPV
f,94,CRI
m,119,CRI
f,9,CUB
m,16,CUB
f,1,CYM
m,7,CYM
f,14,CYP
m,55,CYP
f,240,CZE
m,372,CZE
f,3724,DEU
m,6136,DEU
f,1,DJI
m,2,DJI
f,1,DMA
f,274,DNK
m,447,DNK
f,35,DOM
m,58,DOM
f,54,DZA
m,107,DZA
f,42,ECU
m,92,ECU
f,35,EGY
m,99,EGY
f,2,ERI
m,3,ERI
f,1060,ESP
m,2124,ESP
f,83,EST
m,105,EST
f,10,ETH
m,15,ETH
f,34,EU
m,37,EU
f,266,FIN
m,347,FIN
f,5,FJI
m,9,FJI
f,5924,FRA
m,5916,FRA
f,3,FRO
m,2,FRO
f,4,FSM
m,2,FSM
f,1,For
m,1,For
f,5,GAB
m,5,GAB
f,1687,GBR
m,2883,GBR
f,15,GEO
m,27,GEO
f,3,GGY
m,6,GGY
f,10,GHA
m,12,GHA
m,3,GIB
f,2,GIN
m,3,GIN
f,1,GMB
m,2,GMB
m,1,GNB
f,205,GRC
m,368,GRC
f,2,GRD
m,1,GRD
f,1,GRL
m,1,GRL
f,24,GTM
m,47,GTM
f,5,GUF
m,4,GUF
m,1,GUM
f,4,GUY
m,2,GUY
f,147,HKG
m,150,HKG
f,17,HND
m,18,HND
f,118,HRV
m,99,HRV
f,6,HTI
m,12,HTI
f,362,HUN
m,466,HUN
f,3,Hon
m,11,Hon
f,53,IDN
m,97,IDN
f,1,IMN
m,7,IMN
f,184,IND
m,812,IND
f,208,IRL
m,371,IRL
f,49,IRN
m,233,IRN
f,4,IRQ
m,16,IRQ
f,65,ISL
m,71,ISL
f,210,ISR
m,532,ISR
f,1545,ITA
m,2322,ITA
f,5,JAM
m,6,JAM
f,5,JEY
m,5,JEY
f,10,JOR
m,29,JOR
f,410,JPN
m,452,JPN
f,40,KAZ
m,48,KAZ
f,11,KEN
m,18,KEN
f,6,KGZ
m,11,KGZ
f,2,KHM
m,10,KHM
f,1,KIR
m,2,KIR
f,1,KNA
m,1,KNA
f,312,KOR
m,410,KOR
f,3,KWT
m,17,KWT
f,3,LAO
m,3,LAO
f,33,LBN
m,36,LBN
m,2,LBR
f,1,LBY
m,6,LBY
f,2,LCA
f,1,LIE
m,5,LIE
f,11,LKA
m,40,LKA
m,1,LSO
f,76,LTU
m,74,LTU
f,92,LUX
m,149,LUX
f,59,LVA
m,39,LVA
f,8,MAC
m,8,MAC
f,53,MAR
m,104,MAR
f,13,MCO
m,13,MCO
f,18,MDA
m,40,MDA
f,5,MDG
m,9,MDG
f,2,MDV
m,1,MDV
f,2444,MEX
m,3500,MEX
m,2,MHL
f,17,MKD
m,35,MKD
m,6,MLI
f,16,MLT
m,29,MLT
f,3,MMR
m,9,MMR
f,2,MNE
m,6,MNE
f,11,MNG
m,6,MNG
f,2,MOZ
m,4,MOZ
f,2,MRT
m,2,MRT
f,2,MSR
m,1,MSR
f,10,MUS
m,15,MUS
f,4,MWI
m,3,MWI
f,113,MYS
m,119,MYS
f,3,MYT
m,1,MYT
f,4,NAM
m,6,NAM
f,1,NER
m,4,NER
f,18,NGA
m,25,NGA
f,6,NIC
m,14,NIC
f,2,NIU
f,342,NLD
m,713,NLD
f,636,NOR
m,965,NOR
f,4,NPL
m,18,NPL
m,1,NRU
f,281,NZL
m,441,NZL
f,3,OMN
m,9,OMN
f,24,PAK
m,111,PAK
f,23,PAN
m,29,PAN
f,82,PER
m,139,PER
f,97,PHL
m,100,PHL
f,1,PLW
f,3,PNG
m,5,PNG
f,516,POL
m,697,POL
f,43,PRI
m,43,PRI
f,3,PRK
m,4,PRK
f,523,PRT
m,904,PRT
f,9,PRY
m,18,PRY
f,6,PSE
m,11,PSE
m,9,QAT
f,178,ROU
m,187,ROU
f,932,RUS
m,1127,RUS
f,2,RWA
m,3,RWA
f,20,SAU
m,73,SAU
f,1,SDN
m,5,SDN
f,5,SEN
m,8,SEN
f,200,SGP
m,241,SGP
f,1,SHN
m,1,SHN
f,2,SLE
m,3,SLE
f,20,SLV
m,39,SLV
f,1,SM2
m,3,SM2
f,1,SMR
m,3,SMR
f,1,SOM
m,5,SOM
f,51,SRB
m,93,SRB
f,1,SUR
m,3,SUR
f,113,SVK
m,153,SVK
f,72,SVN
m,120,SVN
f,331,SWE
m,741,SWE
f,1,SWZ
m,4,SWZ
f,1,SYC
m,1,SYC
f,5,SYR
m,41,SYR
f,3,TCD
m,1,TCD
f,2,TGO
m,7,TGO
f,82,THA
m,136,THA
f,2,TJK
m,4,TJK
f,3,TKM
m,1,TKM
f,2,TON
f,13,TTO
m,18,TTO
f,28,TUN
m,57,TUN
f,433,TUR
m,1317,TUR
f,3,TUV
f,123,TWN
m,109,TWN
f,8,TZA
m,7,TZA
f,10,UGA
m,10,UGA
f,181,UKR
m,267,UKR
f,24,URY
m,63,URY
f,8518,USA
m,9692,USA
f,8,UZB
m,7,UZB
f,2,VCT
m,2,VCT
f,149,VEN
m,235,VEN
f,2,VGB
m,5,VGB
f,10,VIR
m,8,VIR
f,48,VNM
m,49,VNM
f,1,VUT
m,2,VUT
f,2,WLF
m,4,WLF
f,1,YEM
m,1,YEM
f,108,ZAF
m,189,ZAF
f,3,ZMB
m,3,ZMB
f,11,ZWE
m,6,ZWE
