country,2011,2012,2013,2014,2015,2016
ABW,2,1,16,7,12,0
AFG,4,30,56,51,54,13
AGO,4,5,15,15,9,4
AIA,0,3,11,6,4,1
ALB,4,17,27,39,32,5
AND,3,5,16,18,6,3
ANT,0,3,4,6,2,1
ARE,7,21,31,30,17,9
ARG,21,37,183,290,505,27
ARM,8,9,19,26,7,3
ATG,1,4,4,7,4,2
AUS,191,624,1055,2107,1834,588
AUT,63,492,487,614,346,129
AZE,1,10,19,23,25,7
BDI,0,1,2,3,2,1
BEL,71,370,654,261,204,66
BEN,1,1,5,4,2,1
BFA,1,0,5,1,0,0
BGD,2,15,21,25,19,5
BGR,6,23,58,50,31,8
BHR,0,7,42,16,7,0
BHS,0,6,9,13,6,4
BIH,4,5,10,16,14,2
BLR,2,27,30,42,36,5
BLZ,0,0,3,4,4,1
BMU,0,0,3,6,1,2
BOL,2,7,18,17,7,3
BRA,64,136,319,987,236,131
BRB,1,5,12,11,6,1
BRN,0,0,4,6,6,0
BTN,0,1,6,1,3,1
BWA,0,8,2,2,2,1
CAF,0,0,1,1,1,0
CAN,400,589,1981,1495,838,255
CHE,94,300,331,491,383,144
CHL,76,102,281,215,111,40
CHN,46,136,167,145,120,29
CIV,0,3,10,4,4,2
CMR,1,3,3,4,13,0
COD,1,3,2,5,3,0
COG,0,2,3,1,2,1
COK,0,0,2,3,0,0
COL,13,36,171,270,119,30
COM,0,0,1,2,0,1
CPV,0,1,3,1,4,0
CRI,9,10,59,101,27,7
CUB,0,1,7,12,5,0
CYM,0,2,1,3,1,1
CYP,1,12,24,19,12,1
CZE,32,52,96,118,283,31
DEU,256,1060,1459,3898,2088,1099
DJI,0,0,1,1,1,0
DMA,0,1,0,0,0,0
DNK,69,88,219,194,109,42
DOM,8,5,25,37,16,2
DZA,6,23,56,23,41,12
ECU,2,16,25,61,23,7
EGY,6,17,35,41,30,5
ERI,0,0,1,1,2,1
ESP,172,264,1445,727,436,140
EST,29,33,48,56,15,7
ETH,1,4,3,5,10,2
EU,6,8,23,14,14,6
FIN,52,70,219,135,105,32
FJI,2,2,0,6,3,1
FRA,571,2846,3121,2515,2270,517
FRO,0,0,4,1,0,0
FSM,0,0,2,2,1,1
For,2,0,0,0,0,0
GAB,0,4,3,1,1,1
GBR,207,558,1778,1118,687,222
GEO,1,6,14,14,4,3
GGY,0,2,3,0,4,0
GHA,0,4,5,7,4,2
GIB,0,1,1,0,1,0
GIN,0,0,1,3,1,0
GMB,0,1,1,1,0,0
GNB,0,0,0,0,1,0
GRC,20,82,155,145,151,20
GRD,0,1,1,1,0,0
GRL,0,1,0,1,0,0
GTM,2,8,14,39,5,3
GUF,0,2,2,1,4,0
GUM,0,0,1,0,0,0
GUY,0,2,2,1,1,0
HKG,0,74,75,82,45,21
HND,0,1,14,16,4,0
HRV,11,29,31,63,77,6
HTI,0,4,7,2,4,1
HUN,146,75,417,116,55,19
Hon,11,3,0,0,0,0
IDN,14,22,32,47,27,8
IMN,0,1,4,2,0,1
IND,44,137,283,316,166,50
IRL,24,57,218,174,84,22
IRN,4,14,119,79,54,12
IRQ,0,2,7,8,3,0
ISL,49,15,24,19,27,2
ISR,20,98,135,334,112,43
ITA,474,663,1502,836,334,58
JAM,0,1,4,5,1,0
JEY,1,2,3,1,3,0
JOR,2,1,10,14,11,1
JPN,78,180,185,161,225,33
KAZ,1,7,21,33,20,6
KEN,1,6,7,8,6,1
KGZ,0,3,0,7,5,2
KHM,1,2,3,5,1,0
KIR,1,0,0,1,1,0
KNA,0,0,1,0,1,0
KOR,49,108,146,216,161,42
KWT,0,2,7,6,5,0
LAO,1,0,2,0,2,1
LBN,3,8,29,21,6,2
LBR,0,0,0,0,0,2
LBY,0,0,2,4,0,1
LCA,0,0,1,1,0,0
LIE,0,2,2,2,0,0
LKA,1,5,19,12,13,1
LSO,0,0,1,0,0,0
LTU,11,26,29,57,25,2
LUX,16,44,80,44,43,14
LVA,12,15,20,32,12,7
MAC,0,3,6,4,3,0
MAR,6,33,47,40,24,7
MCO,1,1,4,14,5,1
MDA,2,9,13,23,10,1
MDG,0,4,1,5,3,1
MDV,0,1,2,0,0,0
MEX,265,287,2354,1444,1159,435
MHL,0,1,0,0,1,0
MKD,0,5,22,17,5,3
MLI,0,0,1,3,2,0
MLT,1,6,18,11,8,1
MMR,0,2,3,2,5,0
MNE,0,1,2,3,2,0
MNG,2,5,1,4,1,4
MOZ,0,0,3,1,2,0
MRT,0,1,1,0,2,0
MSR,0,0,0,3,0,0
MUS,4,6,5,3,5,2
MWI,1,3,1,0,1,1
MYS,11,28,59,65,45,24
MYT,0,0,1,0,2,1
NAM,1,1,4,2,1,1
NER,0,2,1,0,1,1
NGA,1,3,15,14,7,3
NIC,0,1,9,8,0,2
NIU,0,0,1,1,0,0
NLD,49,136,392,264,171,43
NOR,30,61,1227,147,116,20
NPL,1,4,6,6,3,2
NRU,0,0,0,1,0,0
NZL,53,138,232,164,108,27
OMN,0,2,5,1,3,1
PAK,2,18,31,58,23,3
PAN,2,6,12,24,8,0
PER,18,26,66,61,40,10
PHL,5,21,42,95,31,3
PLW,0,1,0,0,0,0
PNG,1,3,2,1,0,1
POL,54,128,412,349,207,63
PRI,4,3,24,36,8,11
PRK,0,2,3,1,1,0
PRT,144,207,415,239,328,94
PRY,1,2,4,13,7,0
PSE,0,0,6,4,3,4
QAT,0,0,4,3,1,1
ROU,31,53,72,133,59,17
RUS,30,189,618,717,394,111
RWA,1,1,0,1,2,0
SAU,2,3,24,36,19,9
SDN,0,2,0,4,0,0
SEN,1,2,5,3,1,1
SGP,14,56,147,145,56,23
SHN,1,0,0,0,1,0
SLE,0,1,0,2,1,1
SLV,0,4,15,27,10,3
SM2,2,1,1,0,0,0
SMR,0,1,3,0,0,0
SOM,0,1,1,1,2,1
SRB,6,15,38,53,26,6
SUR,1,1,1,0,1,0
SVK,32,54,61,57,50,12
SVN,21,31,63,38,27,12
SWE,81,97,355,351,151,37
SWZ,0,1,2,0,1,1
SYC,0,0,0,1,0,1
SYR,0,2,8,30,6,0
TCD,0,1,1,1,1,0
TGO,0,0,3,2,4,0
THA,11,123,31,32,18,3
TJK,0,0,1,3,0,2
TKM,0,0,1,1,2,0
TON,0,1,0,0,1,0
TTO,4,3,12,9,3,0
TUN,4,10,30,21,17,3
TUR,121,226,625,409,292,77
TUV,0,1,1,0,0,1
TWN,27,63,48,68,20,6
TZA,2,5,3,2,2,1
UGA,0,3,1,11,5,0
UKR,11,33,97,189,100,18
URY,1,5,23,38,16,4
USA,735,1987,4029,7792,2876,791
UZB,0,4,4,4,2,1
VCT,0,0,1,2,0,1
VEN,21,16,82,171,71,23
VGB,1,3,2,1,0,0
VIR,1,0,5,7,4,1
VNM,5,14,31,23,19,5
VUT,0,1,0,0,1,1
WLF,0,0,2,1,1,2
YEM,0,1,0,1,0,0
ZAF,11,37,93,91,57,8
ZMB,1,1,1,1,1,1
ZWE,0,2,6,1,4,4
